latitude;longitude;altitude;speed;course;date;time;satellites
-24,722280;-53,756626;0.0;0.0;0.0;260721;10190100;0
-24,722312;-53,756622;1836.0;0.2;0.0;260721;10191100;5
-24,722318;-53,756618;1835.0;0.3;0.0;260721;10192100;6
-24,722337;-53,756584;1835.0;0.4;0.0;260721;10193100;6
-24,722322;-53,756587;1822.8;0.1;312.8;260721;10194100;6
-24,722328;-53,756572;1819.9;0.7;34.2;260721;10195100;7
-24,722324;-53,756584;1814.6;0.6;34.2;260721;10200200;7
-24,722324;-53,756595;1811.7;0.2;34.2;260721;10201200;7
-24,722322;-53,756614;1814.0;0.1;34.2;260721;10202200;7
-24,722307;-53,756633;1810.4;0.7;34.2;260721;10203200;7
-24,722299;-53,756637;1807.1;0.1;34.2;260721;10204200;7
-24,722295;-53,756641;1810.0;0.3;349.1;260721;10205200;7
-24,722297;-53,756633;1811.7;0.1;349.1;260721;10210300;7
-24,722324;-53,756618;1809.7;0.6;349.1;260721;10211300;7
-24,722324;-53,756626;1804.5;0.1;349.1;260721;10212300;7
-24,722326;-53,756599;1807.7;3.3;38.0;260721;10213300;7
-24,722269;-53,756496;1805.1;4.0;29.1;260721;10214300;7
-24,722051;-53,756374;1801.5;5.1;14.8;260721;10215300;7
-24,722066;-53,756580;1814.6;11.2;245.8;260721;10220400;7
-24,722185;-53,757408;1772.3;24.7;266.8;260721;10221400;6
-24,722070;-53,758670;1805.8;25.7;273.0;260721;10222400;7
-24,721984;-53,759895;1836.3;27.3;271.0;260721;10223400;7
-24,721939;-53,760749;1853.7;1.2;279.5;260721;10224400;7
-24,721437;-53,760921;1862.2;23.0;347.8;260721;10225400;7
-24,720275;-53,761230;1856.0;22.2;348.7;260721;10230500;6
-24,720008;-53,761287;1865.5;3.4;358.6;260721;10231500;7
-24,719718;-53,761444;1871.4;11.6;269.5;260721;10232500;6
-24,720277;-53,761325;1863.5;19.5;165.9;260721;10233500;6
-24,720762;-53,761425;1864.8;10.8;261.8;260721;10234500;7
-24,720716;-53,762424;1863.2;27.5;274.8;260721;10235500;7
-24,720703;-53,763793;1849.7;27.6;271.2;260721;10240600;7
-24,720676;-53,765014;1818.2;27.1;271.0;260721;10241600;7
-24,720659;-53,766201;1782.2;25.7;272.6;260721;10242600;6
-24,720657;-53,766532;1799.5;4.6;62.1;260721;10243600;7
-24,720619;-53,766521;1837.6;0.1;68.4;260721;10244600;7
-24,720621;-53,766540;1868.4;0.2;68.4;260721;10245700;7
-24,720624;-53,766563;1893.0;0.1;68.4;260721;10250700;7
-24,720647;-53,766582;1900.9;2.1;331.9;260721;10251700;7
-24,720630;-53,766761;1894.4;6.6;283.7;260721;10252700;8
-24,720701;-53,767131;1878.3;11.1;263.7;260721;10253700;8
-24,720733;-53,767848;1833.3;19.0;265.3;260721;10254700;8
-24,720750;-53,768871;1785.4;25.3;269.5;260721;10255700;8
-24,720502;-53,769565;1794.3;15.7;346.9;260721;10260800;8
-24,719703;-53,769836;1792.7;22.5;341.1;260721;10261800;8
-24,718627;-53,770187;1776.2;27.6;347.2;260721;10262800;7
-24,717695;-53,770401;1773.6;9.0;26.4;260721;10263800;8
-24,717639;-53,770252;1790.7;0.1;90.0;260721;10264800;8
-24,717599;-53,770240;1793.0;0.0;90.0;260721;10265900;8
-24,717597;-53,770183;1788.1;5.1;96.5;260721;10270900;8
-24,717601;-53,770023;1783.1;1.9;114.8;260721;10271900;8
-24,717601;-53,769866;1786.7;0.6;93.3;260721;10272900;8
-24,717597;-53,769710;1795.9;6.9;91.5;260721;10273900;9
-24,717592;-53,769443;1800.9;2.5;92.1;260721;10274900;9
-24,717575;-53,769412;1809.1;0.1;92.1;260721;10280000;9
-24,717573;-53,769271;1813.3;2.7;93.5;260721;10281000;9
-24,717576;-53,769229;1815.9;0.0;99.2;260721;10282000;9
-24,717573;-53,769088;1817.3;9.2;90.1;260721;10283000;10
-24,717565;-53,768516;1822.8;1.9;91.1;260721;10284000;9
-24,717563;-53,768505;1836.0;0.0;91.1;260721;10285000;10
-24,717586;-53,768268;1843.8;5.4;99.9;260721;10290000;8
-24,717603;-53,768157;1845.1;2.9;71.8;260721;10291000;9
-24,717678;-53,768207;1857.6;6.9;192.1;260721;10292000;10
-24,718002;-53,768188;1867.1;9.2;179.6;260721;10293000;10
-24,718379;-53,768196;1865.2;9.2;182.3;260721;10294000;9
-24,718578;-53,768196;1865.5;0.0;182.0;260721;10295000;10
-24,718591;-53,768184;1855.6;0.6;109.4;260721;10300100;10
-24,718570;-53,768184;1861.9;0.1;14.6;260721;10301100;10
-24,718431;-53,768180;1857.6;0.8;2.0;260721;10302100;9
-24,718311;-53,768180;1846.1;4.6;0.5;260721;10303100;10
-24,718177;-53,768196;1843.8;8.2;0.5;260721;10304100;10
-24,718036;-53,768203;1840.2;0.0;1.6;260721;10305200;10
-24,718013;-53,768203;1846.5;0.7;359.3;260721;10310200;11
-24,717775;-53,768207;1837.9;4.8;3.2;260721;10311200;11
-24,717754;-53,768199;1836.0;0.0;7.5;260721;10312200;10
-24,717710;-53,768199;1832.3;5.0;354.0;260721;10313200;11
-24,717597;-53,768035;1827.1;0.4;86.3;260721;10314200;11
-24,717592;-53,768024;1829.4;0.0;86.3;260721;10315300;11
-24,717601;-53,767944;1830.1;7.1;94.8;260721;10320300;11
-24,717603;-53,767631;1831.0;0.0;88.1;260721;10321300;11
-24,717603;-53,767528;1834.6;6.2;86.4;260721;10322300;11
-24,717597;-53,767345;1837.9;6.3;254.0;260721;10323300;11
-24,717979;-53,767337;1838.9;9.0;177.0;260721;10324400;10
-24,718349;-53,767349;1853.3;9.3;180.4;260721;10325400;11
-24,718610;-53,767353;1859.6;3.0;302.6;260721;10330400;11
-24,718494;-53,767364;1861.2;0.2;7.1;260721;10331400;11
-24,718482;-53,767372;1862.9;0.1;7.1;260721;10332400;11
-24,718479;-53,767379;1866.5;0.0;7.1;260721;10333400;11
-24,718475;-53,767379;1868.8;0.1;7.1;260721;10334500;11
-24,718469;-53,767368;1863.5;0.7;10.5;260721;10335500;11
-24,718242;-53,767349;1856.0;6.7;4.9;260721;10340500;11
-24,718130;-53,767330;1848.8;0.0;17.7;260721;10341500;11
-24,718112;-53,767326;1856.0;0.1;17.7;260721;10342500;11
-24,718105;-53,767322;1862.2;0.2;17.7;260721;10343600;10
-24,718103;-53,767318;1858.3;0.1;17.7;260721;10344600;11
-24,718105;-53,767314;1858.9;0.4;17.7;260721;10345600;10
-24,718103;-53,767314;1861.2;0.3;17.7;260721;10350600;10
-24,718107;-53,767314;1857.6;0.1;17.7;260721;10351600;9
-24,718105;-53,767307;1856.6;0.0;17.7;260721;10352600;11
-24,718078;-53,767318;1859.6;1.9;1.2;260721;10353700;11
-24,717658;-53,767288;1847.8;9.7;13.1;260721;10354700;11
-24,717594;-53,766845;1849.4;6.9;91.4;260721;10355700;9
-24,717622;-53,766464;1838.9;0.0;94.0;260721;10360700;11
-24,717645;-53,766517;1850.7;6.4;206.3;260721;10361700;11
-24,717971;-53,766506;1864.2;8.3;173.9;260721;10362700;11
-24,718347;-53,766479;1882.9;8.5;177.0;260721;10363800;11
-24,718492;-53,766490;1884.2;1.2;4.6;260721;10364800;10
-24,718498;-53,766510;1884.5;0.0;4.6;260721;10365800;11
-24,718509;-53,766517;1881.2;0.1;4.6;260721;10370800;10
-24,718517;-53,766517;1878.0;0.3;4.6;260721;10371800;9
-24,718027;-53,766498;1871.7;3.6;358.0;260721;10372900;8
-24,718000;-53,766498;1875.3;0.0;358.7;260721;10373900;10
-24,717998;-53,766494;1875.3;0.3;358.7;260721;10374900;11
-24,717781;-53,766487;1867.8;5.8;7.3;260721;10375900;9
-24,717662;-53,766479;1862.2;1.9;9.7;260721;10380900;10
-24,717617;-53,766471;1868.1;0.0;40.5;260721;10381900;11
-24,717597;-53,766391;1860.2;2.5;84.4;260721;10383000;11
-24,717590;-53,765995;1849.7;10.6;85.6;260721;10384000;11
-24,717590;-53,765914;1845.1;0.0;83.9;260721;10385000;10
-24,717599;-53,765903;1844.5;0.0;83.9;260721;10390000;11
-24,717607;-53,765876;1848.4;0.1;83.9;260721;10391000;12
-24,717615;-53,765853;1854.0;0.0;83.9;260721;10392100;11
-24,717611;-53,765682;1853.7;10.6;91.8;260721;10393100;12
-24,717657;-53,765659;1866.1;5.5;194.4;260721;10394100;12
-24,717983;-53,765647;1886.5;9.3;181.9;260721;10395100;11
-24,718372;-53,765651;1891.7;9.4;179.2;260721;10400100;11
-24,718578;-53,765659;1892.1;0.0;178.0;260721;10401200;12
-24,718570;-53,765663;1891.7;1.0;54.1;260721;10402200;10
-24,718332;-53,765655;1886.5;3.1;1.3;260721;10403200;12
-24,718255;-53,765666;1885.5;5.3;0.5;260721;10404200;11
-24,718101;-53,765663;1882.2;1.2;2.6;260721;10405200;10
-24,718025;-53,765663;1890.1;1.7;1.3;260721;10410300;10
-24,717952;-53,765663;1890.7;4.6;359.4;260721;10411300;10
-24,717645;-53,765617;1864.8;7.3;55.4;260721;10412300;10
-24,717664;-53,764846;1864.8;15.4;94.8;260721;10413300;11
-24,717742;-53,764839;1870.7;4.2;185.5;260721;10414300;11
-24,717973;-53,764823;1896.0;9.3;180.0;260721;10415400;10
-24,718353;-53,764823;1901.6;9.4;182.0;260721;10420400;11
-24,718656;-53,764823;1895.0;0.2;174.1;260721;10421400;11
-24,718608;-53,764823;1890.4;3.5;1.0;260721;10422400;11
-24,718465;-53,764801;1885.2;3.7;6.1;260721;10423400;10
-24,718379;-53,764801;1886.2;1.7;2.0;260721;10424500;9
-24,718305;-53,764801;1889.4;1.2;0.2;260721;10425500;11
-24,718204;-53,764789;1878.6;5.1;3.0;260721;10430500;8
-24,718030;-53,764804;1879.3;3.0;357.7;260721;10431500;10
-24,717971;-53,764797;1881.2;0.0;0.0;260721;10432500;11
-24,717861;-53,764797;1874.3;0.2;356.0;260721;10433600;11
-24,717803;-53,764789;1873.7;3.9;347.5;260721;10434600;9
-24,717731;-53,764781;1872.4;3.5;358.6;260721;10435600;11
-24,717641;-53,764537;1866.8;13.0;92.3;260721;10440600;10
-24,717647;-53,764282;1868.4;0.1;88.2;260721;10441600;11
-24,717660;-53,764266;1863.8;0.1;88.2;260721;10442700;11
-24,717658;-53,764259;1869.1;0.2;88.2;260721;10443700;11
-24,717662;-53,764205;1864.8;4.7;73.4;260721;10444700;11
-24,717668;-53,763935;1867.1;0.1;91.9;260721;10445700;11
-24,717660;-53,763935;1874.0;2.1;76.0;260721;10450700;11
-24,717672;-53,763965;1882.2;7.0;217.6;260721;10451800;10
-24,718021;-53,763980;1882.5;9.0;179.8;260721;10452800;8
-24,718357;-53,763984;1886.2;8.3;179.7;260721;10453800;9
-24,718608;-53,764003;1888.1;5.2;185.1;260721;10454800;11
-24,718692;-53,763999;1887.5;0.0;181.6;260721;10455800;11
-24,718717;-53,763984;1877.3;0.1;181.6;260721;10460900;11
-24,718606;-53,763984;1877.3;4.2;7.1;260721;10461900;11
-24,718511;-53,763969;1880.9;1.4;5.6;260721;10462900;8
-24,718383;-53,763965;1885.5;4.4;3.1;260721;10463900;10
